TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
142276270,1136.03,,3,4,3,3,4,4,4,,PC,,8.9361,0.006,,3,spoc,12:48:44.38,64:51:18.99,0.937,0.039,-10.171,0.034,2458699.385254,0.001956,26.321863,0.002691,5.207007,0.188666,1.734359,0.112076,1596.128662,103.220108,4.037327,.359358,30.940041,601.519836,8.812254,84.5362,.158,5729,131.100006,4.47,.08,.977727,.048352,,,"14,15",2019-11-15 23:57:09,2019-12-17 15:43:43,2020-03-25 12:00:24,"possible multi"
142276270,1136.04,TIC 142276270.04,2,4,2,2,4,4,4,,PC,,8.9361,0.006,,4,spoc,12:48:44.38,64:51:18.99,0.937,0.039,-10.171,0.034,2458697.755807,0.00257,18.804756,0.000326,4.591275,0.270919,0.682697,0.067006,628.589713,61.713036,2.540807,.458026,48.445427,672.872761,9.563724,84.5362,.158,5729,131.1,4.47,.08,.977727,.048352,,,"14,15,21,22",2020-07-16 04:56:45,2020-05-26 16:02:58,2020-07-17 13:08:05,"Outer planet in multi"
89389197,1137.01,,3,4,3,4,4,4,4,,PC,,9.00558,0.006,,1,qlp,20:04:42.64,30:24:35.82,0.167,0.043,11.867,0.047,2458684.62997,0.0027,1.32047,0.00025,1.181,0.193,0.923268,0.536548,850,494.057,41.8014,15.7863,3011.4,2063,11,419.435,5.153,4919.6,59,,,6.44,.15,,,"14",2019-09-03 15:31:11,2020-05-20 19:58:58,2020-05-20 16:00:02,"Matched to 1963523488"
110428269,1138.01,,5,5,5,5,5,5,5,,PC,FP,8.90601,0.006,,1,qlp,19:25:51.14,25:11:21.97,1.467,0.05,-4.587,0.058,2458684.20504,0.00442,0.64971,0.00018,2.076,0.328,0.673365,0.001293,620,1.19044,6.23181,.414634,83182,4731,13,395.12,6.803,9994,756.2,4.02,.09,2.59,.11,,,"14",2019-09-03 15:31:11,2020-05-20 19:58:58,2020-05-24 12:00:24,"Possibly EB"
202563254,1139.01,,3,4,3,4,4,4,4,,PC,,8.86193,0.006,,1,qlp,20:16:08.24,31:55:32.47,18.077,0.041,6.707,0.05,2458686.57343,0.01273,4.47333,0.00323,5.069,1.865,1.227576,0.106158,1130,97.7704,7.0803,1.99869,15455.7,3106,10,238.726,1.703,7947,323.7,4.2,.08,1.83,.06,,,"14,15",2019-09-03 15:31:11,2020-05-20 19:58:58,2020-05-20 16:00:02,
320525204,1140.01,,5,5,5,5,5,5,5,5,PC,FP,8.88797,0.006,,1,qlp,17:39:50.77,56:04:44.31,-4.979,0.038,13.371,0.041,2458686.343384,0.00075,13.7336,0.00026,2.412,0.107,4.069999,0.258425,3741.590088,237.990005,9.21121,2.37717,5.72022,430,55,121.182,.27,5941.5,161.899994,,,1.37,.07,,,"14,15,16,17,18",2019-08-27 16:09:25,2019-12-19 02:56:58,2020-03-04 12:58:47,"TFOP FP"
159510109,1141.01,,5,5,5,5,5,5,5,5,PC,FP,8.8523,0.006,,1,spoc,16:30:08.33,80:18:27.96,-18.335,0.054,66.536,0.067,2458687.597778,0.00097,16.947643,0.00061,7.570903,0.12,12.778881,0.000981,11700.791016,.903426,13.617156,.324433,78.269844,758.60968,137.581726,97.3391,.2589,5894.700195,90.300003,4.37,.08,1.1179,.03,,,"14,15",2019-08-27 16:09:25,2019-12-17 15:43:39,2020-01-16 02:34:07,"False positive; TOI released on secondary of an EB with primary transit visible in multisector data"
284450803,1142.01,,5,5,5,5,5,5,5,,PC,FP,8.64028,0.009,,1,qlp,19:22:50.15,56:36:55.39,6.716,0.113,-14.218,0.101,2458685.250122,0.00085,3.36908,0.0002,2.176,0.156,4.030003,0.02938,3704.889893,27.0595,17.9527,1.67387,,,72,299.294,3.7665,7518,143.199997,3.82,.09,2.68,.1,,,"14",2019-08-27 16:09:26,2019-12-17 15:43:41,2019-12-17 10:00:02,"Likely EB; some synchronization; check 284450770"
160268701,1143.01,,3,4,3,5,5,5,5,,PC,FP,8.63287,0.006,,1,qlp,12:10:09.28,77:21:08.15,-36.299,0.108,4.191,0.084,2458694.078735,0.00156,11.19602,0.00096,4.265,0.327,3.060004,0.185549,2814.399902,170.882004,13.4737,3.33685,,,40,191.984,1.9545,6152,75.900002,3.84,.09,2.31,.06,,,"14",2019-08-27 16:09:26,2019-12-17 15:43:41,2020-08-12 12:00:26,
28230919,1144.01,,5,5,5,5,5,5,5,5,KP,KP,8.5077,0.006,,1,spoc,19:50:50.44,48:04:54.71,125.984,0.041,232.988,0.045,2458687.206177,0.00065,4.887823,0.00025,2.359828,0.035195,4.611893,0.037398,4238.70166,34.444611,4.874547,.351336,100.866081,808.269226,114.427391,37.7647,.03365,4757.299805,130.600006,4.56,.09,.77,.04,0.299646,0.0526804,"14,15",2019-08-27 16:09:25,2020-01-21 18:51:36,2020-01-21 16:00:02,"HAT-P-11 b"
