star_ID,Period(yrs),Radius(REarth),a(AU),BBtemp(K),planet_type
6015,1.32138,5.42581,1.25518,277.689,10
2948,2.10844,3.94252,1.68706,229.786,10
3316,4.85758,5.37656,3.36561,231.409,10
3330,1.00073,5.25310,1.02171,291.656,10
1837,0.126795,5.03303,0.175097,255.355,10
6453,0.634184,4.99399,0.699870,289.994,10
3500,0.104071,4.50466,0.155231,279.321,10
5055,1.75622,4.18896,1.61648,288.936,10
224,0.585255,5.24327,0.662170,296.695,10
4936,0.0971489,3.65460,0.150522,295.113,10
747,0.578311,3.50778,0.636942,278.955,10
5508,0.902991,5.26221,0.870754,248.562,10
5616,3.54742,5.43724,2.69305,249.763,10
6295,4.35166,4.39549,3.04925,227.441,10
6742,0.137271,5.74104,0.193694,275.400,10
894,3.38549,4.12910,1.98989,142.488,11
5135,5.23517,5.90718,2.93614,151.880,11
7511,5.94756,5.25181,2.99991,127.165,11
2450,0.498107,4.91783,0.404212,137.827,11
3670,4.22466,4.85065,2.37584,140.956,11
6091,1.88901,5.86804,1.47181,208.389,11
1405,12.5365,5.87209,5.86205,143.185,11
5931,1.39613,5.64231,0.704862,73.9954,11
261,8.94742,5.06084,4.32284,135.252,11
2328,9.04936,5.25875,4.03536,114.558,11
598,2.66236,5.59494,2.00888,221.393,11
2341,11.1437,3.95029,4.68999,109.533,11
1137,2.41890,3.51983,1.80456,208.481,11
5491,2.72430,5.04834,1.63635,137.529,11
2859,6.81459,5.97335,3.46253,135.924,11
5735,4.88876,4.89520,2.12547,86.1687,11
2340,9.55778,3.69429,4.68988,143.284,11
4062,10.4648,3.65627,4.83078,130.199,11
3627,3.83644,4.30532,2.40321,170.967,11
3109,7.45509,4.59780,4.07623,164.290,11
4278,13.7383,5.86538,5.75025,117.099,11
5544,4.18045,5.64991,2.12169,112.891,11
1837,0.810082,3.52235,0.602879,137.616,11
3766,4.99433,3.52657,2.52416,119.610,11
7204,8.35033,5.55682,4.25406,147.513,11
2537,12.3373,3.71290,6.18063,164.784,11
3513,0.854450,5.65303,0.630789,138.008,11
