# tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,comments,logg,logg Err,R_s,R_s Err,R_p,R_p Err,T_eq,T_eff,T_eff Err,Insol_p,SNR_p
307210830,175.03,PC,124.5319,-68.313,9.393,0.009,1354.906208,0.001878,2.253014,0.000285,1.018501,0.392408,571.225532,63.212646,,4.9401,0.058929,0.313,0.009,0.793986,0.687048,567.071721,3469,68,24.438411,9.80206
272086159,176.01,PC,115.0034,-72.2077,13.404,0.04,1363.04625,0.00081,16.15427,0.00013,1.608,0.132,73062.3,590.241,,4.98,0.41,,,,,333,3976.7,401.3,2.05436,21
262530407,177.01,PC,20.4391,-46.7144,9.438,0.016,1356.153,0.000649,2.853133,6.60E-05,1.264674,0.13067,1589.963199,58.600864,known TOI,4.76229,0.061557,0.525,0.016,2.175406,0.400998,652.938423,3703,66,42.954622,25.673399
251848941,178.01,PC,7.30125,-30.453734,10.351,0.017,1360.242325,0.00238,6.558054,0.00129,2.233632,0.32997,1461.710128,116.35722,,4.55528,0.449348,0.701202,0.152166,2.773247,1.134474,624.066076,4111,171,35.846215,11.100334
251848941,178.02,PC,7.30125,-30.453734,10.351,0.017,1354.55219,0.004083,10.354252,0.003165,2.236524,0.274134,1657.067907,446.14713,similar period to candidate 3,4.55528,0.449348,0.701202,0.152166,3.751004,1.518233,535.939787,4111,171,19.497772,9.537692
251848941,178.03,PC,7.30125,-30.453734,10.351,0.017,1362.953314,0.003512,9.955936,0.005123,2.521805,0.662672,1126.601724,147.61179,similar period to candidate 2 and may be wrong; only two transits,4.55528,0.449348,0.701202,0.152166,2.323174,2.683399,542.993812,4111,171,20.544734,7.679551
207141131,179.01,PC,44.262259,-56.192071,8.141,0.017,1354.588395,0.000649,4.137394,9.60E-05,1.829919,0.136448,1134.536706,42.86272,known TOI,4.51761,0.282094,0.838949,0.107368,2.813921,0.897569,935.847488,5058,181,181.276421,21.0557
51912829,180.01,PC,14.2984,-67.496272,9.481,0.02,1325.897913,0.000328,0.835398,9.00E-06,1.480314,0.020716,2689.072814,65.36989,Likely EB,3.77654,0.33082,2.28668,0.344444,14.870042,2.317963,3012.824178,6082,193,19472.25075,49.261066
76923707,181.01,PC,352.171955,-34.491371,10.411,0.019,1358.118127,0.000495,4.532037,0.000161,2.373894,0.052422,7256.580429,114.943214,,4.61445,0.318565,0.741265,0.110511,6.322712,0.96554,844.166174,4983,180,120.014242,64.93228
76989773,182.01,PC,353.294594,-35.463618,9.623,0.019,1355.082723,0.000254,1.769141,3.10E-05,1.958463,0.019511,9408.639864,61.502316,v-shaped; two stars in PSF,4.32065,0.291747,1.13502,0.149118,19.12079,5.670971,1551.301651,5569,187,1368.692921,160.33911
183979262,183.01,PC,21.649233,-72.749038,8.273,0.019,1326.104287,0.000147,3.430776,1.50E-05,3.130096,0.008128,8980.21782,30.697788,700 ppm secondary; likely EB; possibly synchronized with rotation,3.61332,0.359293,2.8586,0.454415,30.195551,4.80043,2143.169745,6270,196,4985.942668,296.1078
300871545,184.01,PC,117.65759,-70.533607,10.025,0.018,1327.376627,0.000164,4.817028,2.60E-05,3.194467,0.008697,23550.64038,81.8451,1000 ppm secondary; likely EB,4.24852,0.353278,1.40476,0.211901,23.899076,3.605441,1355.779169,6380,197,798.503509,339.0261
100100827,185.01,PC,24.354314,-45.677896,8.833,0.017,1354.458014,4.40E-05,0.941449,2.00E-06,2.15304,0.004752,10692.96369,23.348818,WASP-18b,4.36583,0,1.23,0,12.97984,0.028411,2191.330141,6400,0,5449.44472,465.15985
279741379,186.01,PC,51.74676,-63.499154,6.95341,0.017139,1350.3,0.001598,,,2.497779,0.134082,929.253415,,known TOI; single transit; no period; associated report shows a second TCE at 7.78 days,4.32239,0.236802,0.739077,0.078511,2.556572,,731.947459,4628.53,91.9226,67.832939,11.704529
260304296,187.01,PC,94.615669,-57.013569,9.093,0.019,1325.778915,0.000181,0.512589,3.00E-06,1.655647,0.013929,5643.213545,37.83573,v-shaped; very likely EB,4.19532,0.344818,1.58318,0.203704,20.511136,4.637096,3139.920049,6725,201,22971.81771,148.46315
278866211,189.01,PC,100.807855,-55.24454,10.218,0.018,1327.357534,0.000613,2.194097,4.10E-05,1.956189,0.036019,5681.89216,129.55716,8th mag star nearby; v-shaped; likely on target,4.39416,0.333298,1.1174,0.170754,14.822882,8.219116,1521.993852,6054,193,1268.155749,54.277805
166739520,190.01,PC,36.775436,-50.284518,9.632,0.018,1357.571578,0.000478,10.020817,0.000175,5.79945,0.035616,8256.898746,52.415806,WASP-117,4.35513,0,1.17,0,10.928113,0.06793,935.870204,6038,0,181.294022,162.08876
